,PLATFORM_CYCLE,PRES,PRES_ERROR,PSAL,PSAL_ERROR,TEMP,TEMP_ERROR
47867,6901052-1,5.3,2.4,37.13493,0.01,25.999,0.002
47868,6901052-1,10.8,2.4,37.13694,0.01,25.951,0.002
47869,6901052-1,15.5,2.4,37.13993,0.01,25.753,0.002
47870,6901052-1,20.0,2.4,37.22593,0.01,24.861,0.002
47871,6901052-1,25.6,2.4,37.23093,0.01,24.731,0.002
47872,6901052-1,30.0,2.4,37.22693,0.01,24.559,0.002
47873,6901052-1,35.2,2.4,37.21893,0.01,24.238,0.002
47874,6901052-1,39.8,2.4,37.21293,0.01,24.143,0.002
47875,6901052-1,45.4,2.4,37.21393,0.01,24.094,0.002
47876,6901052-1,49.9,2.4,37.21593,0.01,24.022,0.002
47877,6901052-1,60.8,2.4,37.19293,0.01,23.38,0.002
47878,6901052-1,70.2,2.4,37.21193,0.01,23.008,0.002
47879,6901052-1,80.2,2.4,37.19193,0.01,22.746,0.002
47880,6901052-1,90.6,2.4,37.19193,0.01,22.583,0.002
47881,6901052-1,100.2,2.4,37.18293,0.01,22.419,0.002
47882,6901052-1,110.4,2.4,37.17293,0.01,22.293,0.002
47883,6901052-1,120.0,2.4,37.13893,0.01,22.007,0.002
47884,6901052-1,129.2,2.4,37.07093,0.01,21.556,0.002
47885,6901052-1,140.9,2.4,37.02393,0.01,21.258,0.002
47886,6901052-1,150.7,2.4,36.94393,0.01,20.66,0.002
47887,6901052-1,160.5,2.4,36.88393,0.01,20.284,0.002
47888,6901052-1,170.4,2.4,36.83992,0.01,19.901,0.002
47889,6901052-1,180.3,2.4,36.80392,0.01,19.674,0.002
47890,6901052-1,190.2,2.4,36.77692,0.01,19.499,0.002
47891,6901052-1,200.3,2.4,36.74192,0.01,19.275,0.002
47892,6901052-1,209.9,2.4,36.70192,0.01,18.994,0.002
47893,6901052-1,220.5,2.4,36.65992,0.01,18.745,0.002
47894,6901052-1,230.2,2.4,36.64192,0.01,18.626,0.002
47895,6901052-1,240.4,2.4,36.62692,0.01,18.545,0.002
47896,6901052-1,250.5,2.4,36.60292,0.01,18.381,0.002
47897,6901052-1,259.9,2.4,36.58592,0.01,18.269,0.002
47898,6901052-1,270.5,2.4,36.57293,0.01,18.172,0.002
47899,6901052-1,280.3,2.4,36.53893,0.01,17.955,0.002
47900,6901052-1,290.1,2.4,36.50393,0.01,17.75,0.002
47901,6901052-1,300.6,2.4,36.45892,0.01,17.478,0.002
47902,6901052-1,310.5,2.4,36.42992,0.01,17.328,0.002
47903,6901052-1,320.7,2.4,36.41792,0.01,17.221,0.002
47904,6901052-1,330.7,2.4,36.39492,0.01,17.09,0.002
47905,6901052-1,340.8,2.4,36.35292,0.01,16.861,0.002
47906,6901052-1,350.5,2.4,36.32692,0.01,16.707,0.002
47907,6901052-1,375.3,2.4,36.22892,0.01,16.157,0.002
47908,6901052-1,400.6,2.4,36.11892,0.01,15.506,0.002
47909,6901052-1,425.2,2.4,36.05192,0.01,15.064,0.002
47910,6901052-1,449.8,2.4,35.97592,0.01,14.586,0.002
47911,6901052-1,475.7,2.4,35.89001,0.01,14.017,0.002
47912,6901052-1,550.4,2.4,35.69697,0.01,12.686,0.002
47913,6901052-1,575.6,2.4,35.63796,0.01,12.246,0.002
47914,6901052-1,600.3,2.4,35.58495,0.01,11.851,0.002
47915,6901052-1,625.3,2.4,35.54995,0.01,11.587,0.002
47916,6901052-1,650.6,2.4,35.49494,0.01,11.147,0.002
47917,6901052-1,675.3,2.4,35.44593,0.01,10.763,0.002
47918,6901052-1,699.8,2.4,35.35592,0.01,10.064,0.002
47919,6901052-1,750.6,2.4,35.23891,0.01,9.075,0.002
47920,6901052-1,800.8,2.4,35.17991,0.01,8.532,0.002
47921,6901052-1,850.3,2.4,35.14391,0.01,8.004,0.002
47922,6901052-1,900.4,2.4,35.08191,0.01,7.305,0.002
47923,6901052-1,950.7,2.4,35.0169,0.01,6.682,0.002
47924,6901052-1,1000.1,2.4,34.9679,0.01,6.217,0.002
47925,6901052-1,1050.2,2.4,34.9389,0.01,5.734,0.002
47926,6901052-1,1100.5,2.4,34.9579,0.01,5.594,0.002
47927,6901052-1,1150.3,2.4,34.97591,0.01,5.467,0.002
47928,6901052-1,1200.2,2.4,34.9869,0.01,5.404,0.002
47929,6901052-1,1250.0,2.4,35.00391,0.01,5.262,0.002
47930,6901052-1,1300.6,2.4,35.01291,0.01,5.09,0.002
47931,6901052-1,1350.1,2.4,35.0219,0.01,4.94,0.002
47932,6901052-1,1399.8,2.4,35.0219,0.01,4.857,0.002
47933,6901052-1,1450.0,2.4,35.0229,0.01,4.736,0.002
47934,6901052-1,1500.4,2.4,35.0209,0.01,4.592,0.002
47935,6901052-1,1550.6,2.4,35.0139,0.01,4.472,0.002
47936,6901052-1,1600.4,2.4,35.0139,0.01,4.354,0.002
47937,6901052-1,1649.7,2.4,35.01291,0.01,4.257,0.002
47938,6901052-1,1700.4,2.4,35.00391,0.01,4.132,0.002
47939,6901052-1,1750.5,2.4,35.0089,0.01,4.093,0.002
47940,6901052-1,1800.4,2.4,35.00491,0.01,4.004,0.002
47941,6901052-1,1850.6,2.4,34.99891,0.01,3.911,0.002
47942,6901052-1,1900.0,2.4,34.9949,0.01,3.811,0.002
47943,6901052-1,1950.6,2.4,34.9929,0.01,3.734,0.002
47944,6901052-1,1998.4,2.4,34.9929,0.01,3.667,0.002
